============================================================
Seed 41
============================================================
Epoch  18/50 | LR 0.000713 | Train 75.34% | Val 73.40%
Epoch  19/50 | LR 0.000684 | Train 75.71% | Val 76.53% ✅
Epoch  20/50 | LR 0.000655 | Train 75.57% | Val 75.67%
Epoch  21/50 | LR 0.000624 | Train 76.69% | Val 76.00%
Epoch  22/50 | LR 0.000594 | Train 77.29% | Val 75.93%
Epoch  23/50 | LR 0.000563 | Train 76.39% | Val 75.20%
Epoch  24/50 | LR 0.000531 | Train 77.43% | Val 75.67%
Epoch  25/50 | LR 0.000500 | Train 77.14% | Val 75.27%
Epoch  26/50 | LR 0.000469 | Train 77.80% | Val 75.00%
Epoch  27/50 | LR 0.000437 | Train 77.91% | Val 76.67% ✅
Epoch  28/50 | LR 0.000406 | Train 78.99% | Val 77.20% ✅
Epoch  29/50 | LR 0.000376 | Train 78.46% | Val 77.20%
Epoch  30/50 | LR 0.000345 | Train 79.31% | Val 77.27% ✅
Epoch  31/50 | LR 0.000316 | Train 79.64% | Val 73.67%
Epoch  32/50 | LR 0.000287 | Train 79.89% | Val 77.93% ✅
Epoch  33/50 | LR 0.000259 | Train 80.46% | Val 78.27% ✅
Epoch  34/50 | LR 0.000232 | Train 80.80% | Val 78.20%
Epoch  35/50 | LR 0.000206 | Train 80.54% | Val 78.13%
Epoch  36/50 | LR 0.000181 | Train 81.43% | Val 77.47%
Epoch  37/50 | LR 0.000158 | Train 81.57% | Val 79.60% ✅
Epoch  38/50 | LR 0.000136 | Train 81.83% | Val 78.00%
Epoch  39/50 | LR 0.000115 | Train 82.19% | Val 79.20%
Epoch  40/50 | LR 0.000095 | Train 83.24% | Val 77.73%
Epoch  41/50 | LR 0.000078 | Train 82.59% | Val 78.93%
Epoch  42/50 | LR 0.000062 | Train 82.91% | Val 78.40%
Epoch  43/50 | LR 0.000048 | Train 83.16% | Val 78.73%
Epoch  44/50 | LR 0.000035 | Train 83.87% | Val 78.20%
Epoch  45/50 | LR 0.000024 | Train 83.19% | Val 78.00%
🛑 Early stopping at epoch 45  (best: 79.60% @ ep 37)

✅ Best val acc: 79.60% @ epoch 37  (10.8 min)
   Saved: /content/drive/My Drive/stm32-thesis/checkpoints/vggstyle_seed_63.pth

============================================================
Seed 74
============================================================
Epoch   1/50 | LR 0.000999 | Train 60.10% | Val 66.60% ✅
Epoch   2/50 | LR 0.000996 | Train 65.40% | Val 67.73% ✅
Epoch   3/50 | LR 0.000991 | Train 67.13% | Val 64.00%
Epoch   4/50 | LR 0.000984 | Train 67.67% | Val 66.73%
Epoch   5/50 | LR 0.000976 | Train 69.00% | Val 63.73%
Epoch   6/50 | LR 0.000965 | Train 69.84% | Val 71.07% ✅
Epoch   7/50 | LR 0.000952 | Train 70.66% | Val 71.93% ✅
Epoch   8/50 | LR 0.000938 | Train 71.00% | Val 69.07%
Epoch   9/50 | LR 0.000922 | Train 73.36% | Val 71.47%
Epoch  10/50 | LR 0.000905 | Train 72.89% | Val 70.93%
Epoch  11/50 | LR 0.000885 | Train 72.07% | Val 74.20% ✅
Epoch  12/50 | LR 0.000864 | Train 73.49% | Val 72.07%
Epoch  13/50 | LR 0.000842 | Train 73.14% | Val 74.00%
Epoch  14/50 | LR 0.000819 | Train 73.86% | Val 72.47%
Epoch  15/50 | LR 0.000794 | Train 73.97% | Val 74.53% ✅
Epoch  16/50 | LR 0.000768 | Train 74.77% | Val 73.53%
Epoch  17/50 | LR 0.000741 | Train 75.27% | Val 67.60%
Epoch  18/50 | LR 0.000713 | Train 75.80% | Val 74.27%
Epoch  19/50 | LR 0.000684 | Train 76.07% | Val 76.87% ✅
Epoch  20/50 | LR 0.000655 | Train 76.03% | Val 76.07%
Epoch  21/50 | LR 0.000624 | Train 76.54% | Val 77.33% ✅
Epoch  22/50 | LR 0.000594 | Train 77.17% | Val 72.27%
Epoch  23/50 | LR 0.000563 | Train 76.87% | Val 76.73%
Epoch  24/50 | LR 0.000531 | Train 77.57% | Val 76.80%
Epoch  25/50 | LR 0.000500 | Train 77.36% | Val 77.27%
Epoch  26/50 | LR 0.000469 | Train 77.81% | Val 78.60% ✅
Epoch  27/50 | LR 0.000437 | Train 78.64% | Val 78.73% ✅
Epoch  28/50 | LR 0.000406 | Train 78.74% | Val 78.40%
Epoch  29/50 | LR 0.000376 | Train 79.29% | Val 78.47%
Epoch  30/50 | LR 0.000345 | Train 79.46% | Val 77.07%
Epoch  31/50 | LR 0.000316 | Train 80.23% | Val 79.27% ✅
Epoch  32/50 | LR 0.000287 | Train 80.73% | Val 77.07%
Epoch  33/50 | LR 0.000259 | Train 80.40% | Val 78.93%
Epoch  34/50 | LR 0.000232 | Train 80.70% | Val 77.53%
Epoch  35/50 | LR 0.000206 | Train 81.23% | Val 79.33% ✅
Epoch  36/50 | LR 0.000181 | Train 81.76% | Val 79.93% ✅
Epoch  37/50 | LR 0.000158 | Train 82.00% | Val 78.20%
Epoch  38/50 | LR 0.000136 | Train 82.73% | Val 80.20% ✅
Epoch  39/50 | LR 0.000115 | Train 83.03% | Val 79.80%
Epoch  40/50 | LR 0.000095 | Train 83.49% | Val 79.93%
Epoch  41/50 | LR 0.000078 | Train 83.51% | Val 79.27%
Epoch  42/50 | LR 0.000062 | Train 83.51% | Val 79.07%
Epoch  43/50 | LR 0.000048 | Train 84.24% | Val 79.60%
Epoch  44/50 | LR 0.000035 | Train 84.20% | Val 78.80%
Epoch  45/50 | LR 0.000024 | Train 84.70% | Val 79.53%
Epoch  46/50 | LR 0.000016 | Train 84.89% | Val 79.93%
🛑 Early stopping at epoch 46  (best: 80.20% @ ep 38)

✅ Best val acc: 80.20% @ epoch 38  (11.1 min)
   Saved: /content/drive/My Drive/stm32-thesis/checkpoints/vggstyle_seed_74.pth

============================================================
Seed 85
============================================================
Epoch   1/50 | LR 0.000999 | Train 60.21% | Val 62.00% ✅
Epoch   2/50 | LR 0.000996 | Train 65.89% | Val 62.13% ✅
Epoch   3/50 | LR 0.000991 | Train 65.23% | Val 65.20% ✅
Epoch   4/50 | LR 0.000984 | Train 67.06% | Val 68.67% ✅
Epoch   5/50 | LR 0.000976 | Train 67.77% | Val 68.20%
Epoch   6/50 | LR 0.000965 | Train 68.50% | Val 70.73% ✅
Epoch   7/50 | LR 0.000952 | Train 69.86% | Val 67.47%
Epoch   8/50 | LR 0.000938 | Train 69.63% | Val 68.20%
Epoch   9/50 | LR 0.000922 | Train 70.64% | Val 72.67% ✅
Epoch  10/50 | LR 0.000905 | Train 70.99% | Val 70.33%
Epoch  11/50 | LR 0.000885 | Train 70.84% | Val 69.93%
Epoch  12/50 | LR 0.000864 | Train 72.04% | Val 73.87% ✅
Epoch  13/50 | LR 0.000842 | Train 72.34% | Val 73.73%
Epoch  14/50 | LR 0.000819 | Train 72.97% | Val 69.53%
Epoch  15/50 | LR 0.000794 | Train 73.43% | Val 70.67%
Epoch  16/50 | LR 0.000768 | Train 73.63% | Val 71.87%
Epoch  17/50 | LR 0.000741 | Train 75.33% | Val 75.07% ✅
Epoch  18/50 | LR 0.000713 | Train 74.84% | Val 72.67%
Epoch  19/50 | LR 0.000684 | Train 74.71% | Val 73.20%
Epoch  20/50 | LR 0.000655 | Train 75.21% | Val 72.07%
Epoch  21/50 | LR 0.000624 | Train 76.46% | Val 73.93%
Epoch  22/50 | LR 0.000594 | Train 76.24% | Val 76.60% ✅
Epoch  23/50 | LR 0.000563 | Train 76.49% | Val 75.13%
Epoch  24/50 | LR 0.000531 | Train 77.10% | Val 73.93%
Epoch  25/50 | LR 0.000500 | Train 77.59% | Val 76.33%
Epoch  26/50 | LR 0.000469 | Train 78.00% | Val 75.80%
Epoch  27/50 | LR 0.000437 | Train 77.69% | Val 75.20%
Epoch  28/50 | LR 0.000406 | Train 78.21% | Val 75.47%
Epoch  29/50 | LR 0.000376 | Train 78.20% | Val 76.53%
Epoch  30/50 | LR 0.000345 | Train 79.24% | Val 75.67%
🛑 Early stopping at epoch 30  (best: 76.60% @ ep 22)

✅ Best val acc: 76.60% @ epoch 22  (7.2 min)
   Saved: /content/drive/My Drive/stm32-thesis/checkpoints/vggstyle_seed_85.pth

============================================================
Multi-seed summary  [vggstyle]
============================================================
  Seed 41: 80.27% @ ep 43
  Seed 52: 79.67% @ ep 44
  Seed 63: 79.60% @ ep 37
  Seed 74: 80.20% @ ep 38
  Seed 85: 76.60% @ ep 22
  Mean ± Std: 79.27% ± 1.36%
  Best: seed 41  80.27%
  Checkpoint: /content/drive/My Drive/stm32-thesis/checkpoints/vggstyle_seed_41.pth
